City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Camana,PE,75.15,-16.6228,-72.7111,Caja Arequipa
6,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
10,Kapaa,US,71.92,22.0752,-159.319,Pono Kai Resort
16,Cabo San Lucas,MX,77.5,22.8909,-109.9124,Comfort Rooms
20,Puerto Ayora,EC,82.36,-0.7393,-90.3518,Hostal La Mirada De Solitario George
25,Sao Joao Da Barra,BR,73.49,-21.6403,-41.0511,Pousada Mediterrâneo
26,Ribeira Brava,PT,72.01,32.65,-17.0667,Cheerfulway Bravamar Hotel
27,Kavieng,PG,80.01,-2.5744,150.7967,Kavieng Hotel
29,Nouadhibou,MR,78.78,20.931,-17.0347,Hotel valencia
33,Georgetown,MY,78.73,5.4112,100.3354,Page 63 hostel
38,Rikitea,PF,77.02,-23.1203,-134.9692,Chez Bianca & Benoit
45,Pangkalanbuun,ID,74.37,-2.6833,111.6167,Hotel Tiara
46,Santa Cruz,BO,82.45,-17.8,-63.1667,Aviador Hotel Boutique
51,Mogadishu,SO,78.49,2.0371,45.3438,SYL Hotel
56,Noumea,NC,79.0,-22.2763,166.4572,Hotel Gondwana
58,Vaini,TO,78.96,-21.2,-175.2,Keleti International Resort
60,Chuy,UY,74.62,-33.6971,-53.4616,Alerces
62,Salinopolis,BR,83.52,-0.6136,-47.3561,Hotel Salinópolis
69,Axim,GH,79.36,4.8699,-2.2405,Axim Beach Hotel
79,Hilo,US,76.24,19.7297,-155.09,Dolphin Bay Hotel
83,Saint-Philippe,RE,78.39,-21.3585,55.7679,Le Baril
88,Atuona,PF,78.33,-9.8,-139.0333,Pearl Resort
90,Salalah,OM,80.69,17.0151,54.0924,Muscat International Hotel
93,Gwadar,PK,71.55,25.1216,62.3254,Sadaf Resorts
97,Sechura,PE,79.21,-5.5569,-80.8222,Hospedaje Claritza
106,Tabou,CI,80.28,4.423,-7.3528,hôtel le rochet
108,Ranong,TH,75.15,9.9658,98.6348,Rattana Sin Hotel
109,Takoradi,GH,80.31,4.8845,-1.7554,Hillcrest
